ccm nave,Time,temp,RH,Dew Point,Serial Number
1,2021-11-16 14:25,11.5,74,7,10150827
2,2021-11-16 14:40,11.5,74,7,
3,2021-11-16 14:55,11.5,74.5,7.1,
4,2021-11-16 15:10,11.5,74.5,7.1,
5,2021-11-16 15:25,11.5,74.5,7.1,
6,2021-11-16 15:40,11.5,74.5,7.1,
7,2021-11-16 15:55,11.5,75,7.2,
8,2021-11-16 16:10,11.5,75,7.2,
9,2021-11-16 16:25,11.5,75,7.2,
10,2021-11-16 16:40,11.5,75,7.2,
11,2021-11-16 16:55,11.5,75.5,7.3,
12,2021-11-16 17:10,11.5,75.5,7.3,
13,2021-11-16 17:25,11.5,75.5,7.3,
14,2021-11-16 17:40,11.5,75.5,7.3,
15,2021-11-16 17:55,11.5,75.5,7.3,
16,2021-11-16 18:10,11.5,75.5,7.3,
17,2021-11-16 18:25,11.5,76,7.4,
18,2021-11-16 18:40,11.5,76,7.4,
19,2021-11-16 18:55,11.5,76,7.4,
20,2021-11-16 19:10,11.5,76,7.4,
21,2021-11-16 19:25,11.5,76,7.4,
22,2021-11-16 19:40,11.5,76,7.4,
23,2021-11-16 19:55,11.5,76,7.4,
24,2021-11-16 20:10,11.5,76,7.4,
25,2021-11-16 20:25,11.5,76.5,7.5,
26,2021-11-16 20:40,11.5,76.5,7.5,
27,2021-11-16 20:55,11.5,76.5,7.5,
28,2021-11-16 21:10,11.5,76.5,7.5,
29,2021-11-16 21:25,11.5,76.5,7.5,
30,2021-11-16 21:40,11.5,76.5,7.5,
31,2021-11-16 21:55,11.5,76.5,7.5,
32,2021-11-16 22:10,11.5,76.5,7.5,
33,2021-11-16 22:25,11.5,76.5,7.5,
34,2021-11-16 22:40,11.5,76.5,7.5,
35,2021-11-16 22:55,11,76.5,7,
36,2021-11-16 23:10,11,76.5,7,
37,2021-11-16 23:25,11,76.5,7,
38,2021-11-16 23:40,11,76.5,7,
39,2021-11-16 23:55,11,76.5,7,
40,2021-11-17 00:10,11,76.5,7,
41,2021-11-17 00:25,11,76.5,7,
42,2021-11-17 00:40,11,76.5,7,
43,2021-11-17 00:55,11,76.5,7,
44,2021-11-17 01:10,11,76.5,7,
45,2021-11-17 01:25,11,76.5,7,
46,2021-11-17 01:40,11,76.5,7,
47,2021-11-17 01:55,11,76.5,7,
48,2021-11-17 02:10,11,76.5,7,
49,2021-11-17 02:25,11,76.5,7,
50,2021-11-17 02:40,10.5,76.5,6.6,
51,2021-11-17 02:55,10.5,76.5,6.6,
52,2021-11-17 03:10,10.5,76.5,6.6,
53,2021-11-17 03:25,10.5,76.5,6.6,
54,2021-11-17 03:40,10.5,76.5,6.6,
55,2021-11-17 03:55,10.5,76.5,6.6,
56,2021-11-17 04:10,10.5,76.5,6.6,
57,2021-11-17 04:25,10.5,76.5,6.6,
58,2021-11-17 04:40,10.5,76.5,6.6,
59,2021-11-17 04:55,10.5,76.5,6.6,
60,2021-11-17 05:10,10.5,76.5,6.6,
61,2021-11-17 05:25,10.5,76.5,6.6,
62,2021-11-17 05:40,10,76.5,6.1,
63,2021-11-17 05:55,10,77,6.2,
64,2021-11-17 06:10,10,77,6.2,
65,2021-11-17 06:25,10,77,6.2,
66,2021-11-17 06:40,10,77,6.2,
67,2021-11-17 06:55,10,77,6.2,
68,2021-11-17 07:10,10,77,6.2,
69,2021-11-17 07:25,10,77,6.2,
70,2021-11-17 07:40,10,77,6.2,
71,2021-11-17 07:55,10,77,6.2,
72,2021-11-17 08:10,10,77,6.2,
73,2021-11-17 08:25,10,77,6.2,
74,2021-11-17 08:40,10,77,6.2,
75,2021-11-17 08:55,10,77,6.2,
76,2021-11-17 09:10,10,77.5,6.3,
77,2021-11-17 09:25,10,77.5,6.3,
78,2021-11-17 09:40,10,77.5,6.3,
79,2021-11-17 09:55,10,77.5,6.3,
80,2021-11-17 10:10,10,77.5,6.3,
81,2021-11-17 10:25,10,77.5,6.3,
82,2021-11-17 10:40,10,77.5,6.3,
83,2021-11-17 10:55,10,77.5,6.3,
84,2021-11-17 11:10,10,77,6.2,
85,2021-11-17 11:25,10,77,6.2,
86,2021-11-17 11:40,10,77,6.2,
87,2021-11-17 11:55,10,77,6.2,
88,2021-11-17 12:10,10.5,77.5,6.7,
89,2021-11-17 12:25,10.5,77.5,6.7,
90,2021-11-17 12:40,10.5,77.5,6.7,
91,2021-11-17 12:55,10.5,77.5,6.7,
92,2021-11-17 13:10,10.5,77.5,6.7,
93,2021-11-17 13:25,10.5,77.5,6.7,
94,2021-11-17 13:40,10.5,77.5,6.7,
95,2021-11-17 13:55,10.5,78,6.8,
96,2021-11-17 14:10,11,78,7.3,
97,2021-11-17 14:25,11,78,7.3,
98,2021-11-17 14:40,11,78,7.3,
99,2021-11-17 14:55,11,78,7.3,
100,2021-11-17 15:10,11,77.5,7.2,
101,2021-11-17 15:25,11,77.5,7.2,
102,2021-11-17 15:40,11,77.5,7.2,
103,2021-11-17 15:55,11,77.5,7.2,
104,2021-11-17 16:10,11,77.5,7.2,
105,2021-11-17 16:25,11,77,7.1,
106,2021-11-17 16:40,11,77,7.1,
107,2021-11-17 16:55,11,77,7.1,
108,2021-11-17 17:10,11,77,7.1,
109,2021-11-17 17:25,11,77,7.1,
110,2021-11-17 17:40,11,77,7.1,
111,2021-11-17 17:55,11,77,7.1,
112,2021-11-17 18:10,11,77,7.1,
113,2021-11-17 18:25,11,77,7.1,
114,2021-11-17 18:40,11,77,7.1,
115,2021-11-17 18:55,11,77,7.1,
116,2021-11-17 19:10,11,77,7.1,
117,2021-11-17 19:25,11,77,7.1,
118,2021-11-17 19:40,11,77,7.1,
119,2021-11-17 19:55,11,77,7.1,
120,2021-11-17 20:10,11,77,7.1,
121,2021-11-17 20:25,10.5,77,6.6,
122,2021-11-17 20:40,10.5,77.5,6.7,
123,2021-11-17 20:55,10.5,77.5,6.7,
124,2021-11-17 21:10,10.5,77.5,6.7,
125,2021-11-17 21:25,10.5,77.5,6.7,
126,2021-11-17 21:40,10.5,77.5,6.7,
